id_camera_i	id_camera_j	position_error
0	1	0.0197458
0	2	0.019619
0	3	0.0198717
0	4	0.0196294
0	5	0.0193758
0	6	0.0194908
0	7	0.0196602
0	8	0.0196583
0	9	0.0200336
0	10	0.0203989
0	11	0.0202262
0	12	0.0198233
0	13	0.0197979
0	14	0.0197297
0	15	0.0198155
0	16	0.0195366
0	17	0.0194294
0	18	0.0200975
0	19	0.0198449
0	20	0.0198747
0	21	0.0200998
0	22	0.0198675
0	23	0.0198587
0	24	0.0198645
0	25	0.0197673
0	26	0.0198494
0	27	0.0197135
0	28	0.0199609
0	29	0.0199516
0	30	0.0198789
0	31	0.0200293
0	32	0.0199445
0	33	0.0198059
0	34	0.0198012
0	35	0.0197847
0	36	0.0197766
0	37	0.019848
0	38	0.019801
0	39	0.0198672
0	40	0.0198674
0	41	0.0198648
0	42	0.0198306
0	43	0.0198854
0	44	0.0197314
0	45	0.0197689
0	46	0.0197826
0	47	0.0197245
0	48	0.01987
0	49	0.0198786
0	50	0.0198989
0	51	0.0198904
0	52	0.019751
0	53	0.0197503
0	54	0.0198017
0	55	0.0197966
0	56	0.019856
0	57	0.0197733
0	58	0.0197902
0	59	0.0198459
0	60	0.0198415
0	61	0.0199268
0	62	0.019889
0	63	0.0198292
0	64	0.019775
0	65	0.0197833
0	66	0.0197399
0	67	0.0197882
0	68	0.0198322
0	69	0.019849
0	70	0.0198505
0	71	0.0198049
0	72	0.0198391
0	73	0.0197905
0	74	0.0198083
0	75	0.0198505
0	76	0.0198036
0	77	0.0197273
0	78	0.0198046
0	79	0.0198476
0	80	0.0198605
0	81	0.0198576
0	82	0.0198021
0	83	0.019875
0	84	0.01978
0	85	0.0198393
0	86	0.0198147
0	87	0.0198116
0	88	0.0197832
0	89	0.0197939
0	90	0.0198185
0	91	0.0197991
0	92	0.0197899
0	93	0.0198282
0	94	0.0198313
0	95	0.0198418
0	96	0.0198087
0	97	0.019862
0	98	0.0198445
1	0	0.0197458
1	2	0.0198335
1	3	0.0202395
1	4	0.0198046
1	5	0.0195814
1	6	0.0196114
1	7	0.0197244
1	8	0.0196437
1	9	0.0198478
1	10	0.0201013
1	11	0.0201496
1	12	0.0198257
1	13	0.0198575
1	14	0.0198119
1	15	0.0198847
1	16	0.0195958
1	17	0.0194849
1	18	0.0200267
1	19	0.0197219
1	20	0.0197613
1	21	0.0200415
1	22	0.019857
1	23	0.0198965
1	24	0.0199106
1	25	0.0198204
1	26	0.0198768
1	27	0.019713
1	28	0.0199016
1	29	0.0198625
1	30	0.0197948
1	31	0.0199826
1	32	0.0199355
1	33	0.0198145
1	34	0.0198342
1	35	0.019812
1	36	0.0197926
1	37	0.0198389
1	38	0.0197664
1	39	0.0198107
1	40	0.0198007
1	41	0.01981
1	42	0.0198082
1	43	0.0198879
1	44	0.0197495
1	45	0.0197869
1	46	0.0197899
1	47	0.0197182
1	48	0.0198353
1	49	0.0198295
1	50	0.0198389
1	51	0.0198498
1	52	0.0197254
1	53	0.0197487
1	54	0.0198108
1	55	0.0198056
1	56	0.0198552
1	57	0.0197625
1	58	0.0197596
1	59	0.0198016
1	60	0.0197953
1	61	0.0198881
1	62	0.0198695
1	63	0.0198214
1	64	0.0197735
1	65	0.019786
1	66	0.0197365
1	67	0.0197756
1	68	0.019805
1	69	0.019811
1	70	0.0198147
1	71	0.0197732
1	72	0.019819
1	73	0.0197795
1	74	0.0198033
1	75	0.0198443
1	76	0.019797
1	77	0.0197149
1	78	0.0197799
1	79	0.0198172
1	80	0.01983
1	81	0.0198306
1	82	0.0197806
1	83	0.0198606
1	84	0.0197689
1	85	0.0198313
1	86	0.0198025
1	87	0.0197927
1	88	0.0197615
1	89	0.0197692
1	90	0.0197922
1	91	0.0197753
1	92	0.0197695
1	93	0.0198126
1	94	0.0198186
1	95	0.0198277
1	96	0.0197945
1	97	0.0198436
1	98	0.0198232
2	0	0.019619
2	1	0.0198335
2	3	0.0205917
2	4	0.0197163
2	5	0.0195618
2	6	0.0195457
2	7	0.0196803
2	8	0.0196462
2	9	0.0198311
2	10	0.0200041
2	11	0.0200819
2	12	0.0197826
2	13	0.0198409
2	14	0.0197688
2	15	0.0198326
2	16	0.0195445
2	17	0.0194933
2	18	0.0199695
2	19	0.0197076
2	20	0.0197561
2	21	0.020021
2	22	0.0198397
2	23	0.019875
2	24	0.0198804
2	25	0.019789
2	26	0.019842
2	27	0.0196791
2	28	0.0198608
2	29	0.019831
2	30	0.0197758
2	31	0.0199626
2	32	0.0199201
2	33	0.0197889
2	34	0.0198073
2	35	0.0197741
2	36	0.019758
2	37	0.019808
2	38	0.0197397
2	39	0.019786
2	40	0.0197766
2	41	0.0197807
