id_camera_i	id_camera_j	rotation_error
0	1	1.26771
0	2	3.57831
0	3	3.43415
0	4	1.20935
0	5	0.414038
0	6	1.49758
0	7	3.54433
0	8	3.50852
0	9	1.30863
0	10	0.0982802
0	11	1.56188
0	12	3.75177
0	13	3.23031
0	14	1.29201
0	15	1.00056
0	16	2.15263
0	17	3.76223
0	18	3.40963
0	19	1.22061
0	20	0.546841
0	21	2.19687
0	22	3.93933
0	23	3.07551
0	24	1.44476
0	25	1.64834
0	26	2.95146
0	27	3.95959
0	28	3.14677
0	29	1.20021
0	30	1.26682
0	31	2.9741
0	32	3.99795
0	33	2.78562
0	34	1.69893
0	35	2.35185
0	36	3.57977
0	37	3.9636
0	38	2.73024
0	39	1.38613
0	40	2.14629
0	41	3.71772
0	42	3.74921
0	43	2.55341
0	44	2.07707
0	45	2.88921
0	46	3.97007
0	47	3.54868
0	48	2.07201
0	49	1.48269
0	50	2.68414
0	51	3.98531
0	52	3.03197
0	53	1.97845
0	54	2.21782
0	55	3.43827
0	56	3.88097
0	57	2.68736
0	58	1.43759
0	59	1.74442
0	60	3.05592
0	61	3.96858
0	62	2.42903
0	63	1.38575
0	64	2.29386
0	65	3.78261
0	66	3.42331
0	67	1.76583
0	68	0.918762
0	69	2.17592
0	70	3.63811
0	71	3.71794
0	72	1.93011
0	73	1.00848
0	74	2.28461
0	75	3.93699
0	76	2.8373
0	77	0.932227
0	78	0.613347
0	79	2.29581
0	80	3.91032
0	81	3.13791
0	82	1.11158
0	83	0.578791
0	84	2.35573
0	85	3.99571
0	86	2.50543
0	87	0.500885
0	88	0.494664
0	89	2.40722
0	90	3.9971
0	91	2.51479
0	92	0.580388
0	93	0.323138
0	94	2.37711
0	95	3.99884
0	96	2.44819
0	97	0.383691
0	98	0.401355
1	0	1.26771
1	2	1.45612
1	3	3.84591
1	4	3.2684
1	5	1.33746
1	6	0.289132
1	7	1.43553
1	8	3.78185
1	9	3.47723
1	10	1.41079
1	11	0.376253
1	12	1.97268
1	13	3.93328
1	14	3.27253
1	15	1.73795
1	16	1.01734
1	17	1.94158
1	18	3.84454
1	19	3.39314
1	20	1.70862
1	21	1.38379
1	22	2.84638
1	23	3.98193
1	24	3.39582
1	25	2.33588
1	26	2.11019
1	27	2.77435
1	28	3.95898
1	29	3.3271
1	30	2.27796
1	31	2.50554
1	32	3.51757
1	33	3.99817
1	34	3.57113
1	35	3.1468
1	36	3.20174
1	37	3.59408
1	38	3.99562
1	39	3.39863
1	40	2.98597
1	41	3.48181
1	42	3.95209
1	43	3.97228
1	44	3.80045
1	45	3.66745
1	46	3.92351
1	47	3.99998
1	48	3.8199
1	49	3.45463
1	50	3.51112
1	51	3.96472
1	52	3.87347
1	53	3.78756
1	54	3.88243
1	55	3.98521
1	56	3.84218
1	57	3.54868
1	58	3.45446
1	59	3.66185
1	60	3.912
1	61	3.87176
1	62	3.29135
1	63	3.37575
1	64	3.92096
1	65	3.88753
1	66	3.08906
1	67	2.55689
1	68	3.03173
1	69	3.85896
1	70	3.92776
1	71	3.12833
1	72	2.53179
1	73	3.02097
1	74	3.92191
1	75	3.60153
1	76	1.92782
1	77	1.54427
1	78	2.72015
1	79	3.90745
1	80	3.52456
1	81	2.00028
1	82	1.47241
1	83	2.60867
1	84	3.94075
1	85	3.20565
1	86	0.984359
1	87	0.778036
1	88	2.5612
1	89	3.93934
1	90	3.01404
1	91	0.889475
1	92	0.644783
1	93	2.35398
1	94	3.94646
1	95	2.96685
1	96	0.470631
1	97	0.343615
1	98	2.38073
2	0	3.57831
2	1	1.45612
2	3	1.79737
2	4	3.87855
2	5	3.44951
2	6	1.48958
2	7	0.0155163
2	8	1.65179
2	9	3.72548
2	10	3.63083
2	11	1.59065
2	12	0.387344
2	13	2.0363
2	14	3.89658
2	15	3.4988
2	16	1.74185
2	17	0.254319
2	18	1.76109
2	19	3.78703
2	20	3.65195
2	21	2.21749
2	22	1.42556
2	23	2.32204
2	24	3.84308
2	25	3.67693
2	26	2.36469
2	27	1.07096
2	28	2.16288
2	29	3.84414
2	30	3.75405
2	31	2.88442
2	32	2.30436
2	33	2.68076
2	34	3.74002
2	35	3.95111
2	36	3.22571
2	37	2.17873
2	38	2.72592
2	39	3.83829
2	40	3.90227
2	41	3.45219
2	42	2.99926
2	43	2.89662
2	44	3.48222
2	45	3.98702
2	46	3.86982
2	47	3.35703
2	48	3.34282
2	49	3.81537
2	50	3.99964
2	51	3.92198
2	52	3.70696
2	53	3.3775
2	54	3.28686
2	55	3.69344
2	56	3.95152
2	57	3.97128
2	58	3.74221
2	59	3.63126
2	60	3.77296
2	61	3.89202
2	62	4
2	63	3.80262
2	64	3.14551
2	65	2.94977
2	66	3.46724
2	67	3.87291
2	68	3.9352
2	69	3.36874
2	70	2.94993
2	71	3.15723
2	72	3.81598
2	73	3.95044
2	74	3.12905
2	75	2.30958
2	76	2.50185
2	77	3.49041
2	78	3.99182
2	79	3.22725
2	80	1.95956
2	81	2.27105
2	82	3.35098
2	83	3.99967
2	84	3.07444
2	85	1.59794
2	86	1.46298
2	87	3.0212
2	88	3.99996
2	89	3.10991
2	90	1.08056
2	91	1.34589
2	92	2.81809
2	93	3.9901
2	94	3.04799
2	95	0.938049
2	96	0.653197
2	97	2.61838
2	98	3.98983
3	0	3.43415
3	1	3.84591
3	2	1.79737
3	4	1.53514
3	5	3.55535
3	6	3.84196
3	7	1.84564
3	8	0.0567769
3	9	1.24636
3	10	3.33586
3	11	3.87979
3	12	1.94884
3	13	0.0772783
3	14	1.62488
3	15	3.6005
3	16	3.82554
3	17	1.74653
3	18	0.0844243
3	19	1.33814
3	20	3.36631
3	21	3.94326
3	22	2.39877
3	23	0.388151
3	24	1.49603
3	25	3.55961
3	26	3.85694
3	27	1.94288
3	28	0.26818
3	29	1.47037
3	30	3.40172
3	31	3.96915
3	32	2.64223
3	33	0.593479
3	34	1.31598
3	35	3.26512
3	36	3.9553
3	37	2.2719
3	38	0.636136
3	39	1.50953
3	40	3.39687
3	41	3.96794
3	42	2.56443
3	43	0.649292
3	44	0.950373
3	45	2.93179
3	46	3.99953
3	47	2.81134
3	48	1.0818
3	49	1.47918
3	50	3.12082
3	51	3.99993
3	52	2.83116
3	53	0.996156
3	54	0.69099
3	55	2.44086
3	56	3.96782
3	57	3.34415
3	58	1.53516
3	59	1.1269
3	60	2.33734
3	61	3.84454
3	62	3.46555
3	63	1.69641
3	64	0.522908
3	65	1.78587
3	66	3.86207
3	67	3.67514
3	68	1.90533
3	69	0.828611
3	70	1.65923
3	71	3.53582
3	72	3.79059
3	73	2.11405
3	74	0.497901
3	75	1.47469
3	76	3.6507
3	77	3.8044
3	78	2.14755
3	79	0.638539
3	80	1.13837
3	81	3.43944
3	82	3.90374
3	83	2.3854
3	84	0.465007
3	85	1.18591
3	86	3.35545
3	87	3.91309
3	88	2.23357
3	89	0.505806
3	90	0.834436
3	91	3.33236
3	92	3.97097
3	93	2.45858
3	94	0.438652
3	95	0.713831
3	96	3.08009
3	97	3.96963
3	98	2.41022
4	0	1.20935
4	1	3.2684
4	2	3.87855
4	3	1.53514
4	5	1.14098
4	6	3.19054
4	7	3.89932
4	8	1.70077
4	9	0.178403
4	10	0.927419
4	11	3.10407
4	12	3.91172
4	13	1.47033
4	14	0.0181475
4	15	1.29467
4	16	3.28305
4	17	3.8582
