C: 0	-0 -0 -0
C: 1	  0.0532118  0.00426041 -0.00261076
C: 2	  0.105276 -0.0347812 -0.0103543
C: 3	 0.124138 -0.110746 -0.022147
C: 4	 0.0881595  -0.190036 -0.0343269
C: 5	-0.00234475   -0.236679  -0.0417922
C: 6	 -0.112823   -0.21975 -0.0465428
C: 7	-0.201657 -0.130384 -0.042295
C: 8	 -0.219297  0.0073109 -0.0354894
C: 9	 -0.147347    0.13849 -0.0286484
C: 10	0.00198248   0.206976 -0.0311065
C: 11	  0.172026   0.169615 -0.0452272
C: 12	  0.292744  0.0297544 -0.0667296
C: 13	  0.309819  -0.162953 -0.0947278
C: 14	 0.200411 -0.338726 -0.121794
C: 15	-0.00176014   -0.420971   -0.139974
C: 16	-0.223189  -0.36204 -0.143597
C: 17	-0.376721 -0.173882 -0.136001
C: 18	-0.396636 0.0724201 -0.125887
C: 19	-0.249604  0.294255 -0.116951
C: 20	0.00144863   0.390581  -0.120485
C: 21	0.274772 0.320269 -0.14234
C: 22	 0.455188 0.0930699 -0.177664
C: 23	 0.467869 -0.205503 -0.220283
C: 24	 0.296983 -0.459123 -0.260455
C: 25	-0.00460558   -0.565947   -0.285405
C: 26	-0.318452 -0.474597 -0.293489
C: 27	-0.520924 -0.209204 -0.283179
C: 28	-0.533264  0.134665 -0.268783
C: 29	 -0.33393  0.424929 -0.254799
C: 30	0.00302903   0.543471  -0.259197
C: 31	 0.353672  0.442587 -0.289032
C: 32	 0.579235  0.147988 -0.334795
C: 33	 0.586434 -0.225145  -0.38736
C: 34	 0.364219  -0.53885 -0.437717
C: 35	-0.00337761   -0.663346   -0.467061
C: 36	-0.381949 -0.544641 -0.475045
C: 37	-0.623022 -0.222993 -0.463091
C: 38	-0.626338   0.18149 -0.442261
C: 39	-0.390191  0.515648  -0.42998
C: 40	0.00438918   0.649223  -0.436318
C: 41	 0.404481  0.525497 -0.466334
C: 42	 0.652416  0.187415 -0.520557
C: 43	  0.65631 -0.230765 -0.581401
C: 44	 0.401778 -0.572274 -0.635403
C: 45	-0.00433042   -0.703538   -0.668538
C: 46	-0.413779 -0.567884 -0.677661
C: 47	-0.666935 -0.218029 -0.661593
C: 48	-0.667018  0.215895 -0.642848
C: 49	-0.410439   0.56524 -0.629797
C: 50	0.00758064    0.69881  -0.638141
C: 51	 0.417836  0.565295 -0.670217
C: 52	 0.668955  0.214032 -0.722221
C: 53	 0.662902  -0.21613 -0.786328
C: 54	 0.406783 -0.558709 -0.841141
C: 55	-0.00433207   -0.682077   -0.875595
C: 56	-0.410436 -0.543867 -0.883705
C: 57	-0.656043 -0.194091 -0.866943
C: 58	-0.647157  0.230763 -0.846949
C: 59	-0.393769  0.565794 -0.835531
C: 60	0.00602537   0.689041  -0.841827
C: 61	 0.399735  0.555032 -0.876019
C: 62	  0.63074  0.221989 -0.927695
C: 63	 0.620911 -0.180998 -0.984715
C: 64	 0.377568 -0.496705   -1.0327
C: 65	-0.00391101   -0.605363     -1.0641
C: 66	-0.370419 -0.471303   -1.0696
C: 67	-0.588474 -0.155084   -1.0573
C: 68	-0.575368  0.222436  -1.04069
C: 69	-0.345151   0.51785  -1.02996
C: 70	0.00380028   0.621075   -1.03557
C: 71	0.340975 0.499381 -1.06305
C: 72	0.535981 0.207612 -1.11006
C: 73	 0.520877 -0.128648  -1.15842
C: 74	 0.313002 -0.390269  -1.20015
C: 75	-0.000903663     -0.47379     -1.22641
C: 76	-0.301276 -0.363133  -1.22777
C: 77	-0.469744 -0.101936  -1.21521
C: 78	-0.452193  0.200882  -1.20311
C: 79	-0.268375  0.425169  -1.19612
C: 80	0.00387672   0.495565   -1.20314
C: 81	0.257102 0.399368 -1.22446
C: 82	0.396693  0.17835 -1.25669
C: 83	  0.379729 -0.0678229    -1.2955
C: 84	 0.223198 -0.249969  -1.32211
C: 85	-0.00255353   -0.304055    -1.34032
C: 86	-0.203503 -0.216421  -1.34206
C: 87	 -0.308373 -0.0387003   -1.33466
C: 88	-0.290771    0.1574  -1.32342
C: 89	-0.167385  0.295868  -1.31871
C: 90	0.00373735   0.331709   -1.32411
C: 91	0.150472 0.265804 -1.33729
C: 92	0.222405 0.134025 -1.35711
C: 93	   0.201978 -0.00274645    -1.37858
C: 94	  0.111474 -0.0896775   -1.39359
C: 95	-0.000242719    -0.105479     -1.40084
C: 96	-0.0906417 -0.0547096   -1.39955
C: 97	-0.124178 0.0260479  -1.39765
C: 98	-0.103228  0.103254  -1.39317
